"Bank Name","Bank Code","BIC"
"CAISSE NATIONALE DE CREDIT AGRICOLE","0179","AGRIESMM"
"BANCO PORTUGUES DO ATLANTICO","0180","ILBKESMMXXX"
"CREDITO ITALIANO","0181",""
"BANCO BILBAO VIZCAYA","0182","BBVAESMMXXX"
"BANCO EUROPEO DE FINANZAS","0184","BEDFESM1XXX"
"SABADELL MULTIBANCA","0185","UIJOESMMXXX"
"BANCO DE FINANZAS E INVERSIONES","0186","BFIVESBBXXX"
"BANCO UNIVERSAL","0187",""
"BANCO ALCALA","0188","ALCLESMMXXX"
"THE INDUSTRIAL BANK OF JAPAN","0189","IBJTESM1XXX"
"BANCO DE FOMENTO E EXTERIOR-PTGAL.","0190","BBPIESMMXXX"
"EURO BANC DEL PRINCIPAT","0191",""
"BANCO CREDIPAS","0192",""
"BANCA FINESOR ","0193",""
"INST. BANCARIO SAN PAOLO DI TORINO","0194",""
"SANWA BANK LTD.","0195","SANWESM1XXX"
"WESTDEUTSCHE LANDESBANK","0196","WELAESMMFUN"
"BANCO ESPIRITO SANTO E COM. LISBOA","0197","BESCESMMXXX"
"BANCO COOPERATIVO ESPAÑOL","0198","BCOEESMMXXX"
"CREDIT SUISSE","0199",""
"PRIVAT BANK","0200","PRVBESB1XXX"
"BANCO DI NAPOLI","0201","NAPBESMMXXX"
"BANCO DE NEGOCIOS ARGENTINA","0202","BNARESMMXXX"
"FUJI BANK","0203","FUJIJPJTXXX"
"DEUTSCHE BANK CREDIT","0205","DECRESM1XXX"
"THE DAI-ICHI KANGYO BANK","0206","DKBBESM1XXX"
"THE TOKAI BANK LTD.","0207",""
"CREDIT LYONNAIS ESPAÑA","0208","CRLEESMMXXX"
"ABBEY NATIONAL BANK ","0209","ABBKESM1XXX"
"SABADELLGALLEGO","0210","MDBOESM1XXX"
"EBN BANCO","0211","PROAESMMXXX"
"COMPAGNIE BANCAIRE","0212","COBFFRPPXXX"
"CASSA DI RISPARMIO PROV. LOMBARDE","0213","CARIESMMXXX"
"ARAB BANK ","0214",""
"CREDIT LOCAL DE FRANCE","0215","DBOLESM1XXX"
"TARGOBANK","0216","POHIESMMXXX"
"BANCO HALIFAX HISPANIA","0217","HLFXESMMXXX"
"ENTIDAD 0227","0227","UNOEESM1XXX"
"ENTIDAD 0229","0229","POPLESMMXXX"
"BANCO INVERSIS","0232","INVLESMMXXX"
"BANCO CAMINOS","0234","CCOCESMMXXX"
"BANCO PICHINCHA ESPAÑA","0235","PIESESM1XXX"
"CAJASUR","0237","CSURES2CXXX"
"BANCO POPULAR (EX PASTOR)","0238","PSTRESMMXXX"
"EVO BANCO","0239","EVOBESMMXXX"
"BANCO MARE NOSTRUM","0487","GBMNESMMXXX"
"BANCO DE CREDITO AGRICOLA","1001","BCAEESMM"
"BANCO DE CREDITO LOCAL","1004","BCLEESMMXXX"
